ID,Age,Education_level,Sexe,Country,Ethnicity,drug_names,Drug_uses
1,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanche/Asiatique,Alcohol,utilisé la semaine dernière
2,25-34,Doctorat,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
3,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
4,18-24,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
5,35-44,Doctorat,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
6,65+,A quitté l'école à 18 ans,Femme,Canada,Blanc,Alcohol,Utilisé au cours de la dernière décennie
7,45-54,Maitrise,Masculin,États-Unis,Blanc,Alcohol,Utilisé le dernier jour
8,35-44,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
9,35-44,Certificat/diplôme professionnel,Femme,Canada,Blanc,Alcohol,Utilisé au cours du mois dernier
10,55-64,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
11,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
12,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Alcohol,utilisé la semaine dernière
13,55-64,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
14,55-64,Certificat/diplôme professionnel,Femme,Canada,Blanc,Alcohol,Utilisé depuis une décennie
15,55-64,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
16,55-64,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
17,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
18,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
19,55-64,Diplôme universitaire,Masculin,Australie,Blanc,Alcohol,Utilisé le dernier jour
20,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
